course number,name,units,schedule,professor
11720,Arch 171 THWX,4.0,Th 1-4PM lab TBA; T 1-4PM lec TBA,"CHUA, JOHANNES VINCENT"
11730,Arch 171 THWX-1,4.0,Th 1-4PM lab TBA; T 1-4PM lec TBA,"DEL CASTILLO, NICOLO PRECIOSO"
11709,Arch 199.2 THYZQ,4.0,TTh 4:30-9:30PM lec TBA,"BALANE, RONALD"
11757,Arch 199.2 THYZQ-1,4.0,TTh 4:30-9:30PM lec TBA,"LUNA, MARKEL CESAR"
11760,Arch 199.2 THYZQ-2,4.0,TTh 4:30-9:30PM lec TBA,"MADRID, DOLORES CECILIA"
11767,Arch 199.2 THYZQ-3,4.0,TTh 4:30-9:30PM lec TBA,"OZAETA, EMILIO JACINTO"
11772,Arch 199.2 THYZQ-4,4.0,TTh 4:30-9:30PM lec TBA,"SANTOS, FREDERICK"
11786,Arch 199.2 THYZQ-5,4.0,TTh 4:30-9:30PM lec TBA,"SARTHOU, ARMIN"
11716,Arch 202 MOPQ,3.0,M 6-9PM lec TBA,"BULAONG, CARMEN BETTINA"
11750,Arch 205 HOPQ,3.0,Th 6-9PM lec TBA,"LECCIONES, AARON JULIUS"
11787,Arch 206 WOPQ,3.0,W 6-9PM lec TBA,"SARTHOU, ARMIN"
11669,Arch 211 TOPQ,3.0,T 6-9PM lec TBA,"ESPINA, CRISTOPHER STONEWALL"
11712,Arch 233 FOPQ,3.0,F 6-9PM lec TBA,"BARIA, RICHELLE RHEA"
11791,Arch 234 FOPQ,3.0,F 6-9PM lec TBA,"SILVESTRE, JOSE DANILO"
11725,Arch 236 FOPQ,3.0,F 6-9PM lec TBA,"DE CHAVEZ, KELVIN"
62251,Archaeo 2 THQ,3.0,TTh 7-8:30AM lec Classroom A,"PE�A, JESSICA CECILIA"
62252,Archaeo 2 THR,3.0,TTh 8:30-10AM lec Classroom A,"PE�A, JESSICA CECILIA"
62253,Archaeo 2 THW,3.0,TTh 1-2:30PM lec Classroom B,"MABANAG, MARK ANTHONY"
62254,Archaeo 2 THX,3.0,TTh 2:30-4PM lec Classroom B,"MABANAG, MARK ANTHONY"
11702,Archi 203 FOPQ,3.0,F 6-9PM lec TBA,"ABAYA, ERNESTO"
11779,Archi 203 HOPQ,3.0,Th 6-9PM lec TBA,"SANTOS, ROMEO"
11691,Archi 203 SOPQ,3.0,S 6-9PM lec TBA,"PALARCA, HONORIO"
11768,Archi 203 WOPQ,3.0,W 6-9PM lec TBA,"OZAETA, EMILIO JACINTO"
11731,Archi 210 MOPQ,3.0,M 6-9PM lec TBA,"DEL CASTILLO, NICOLO PRECIOSO"
11752,Archi 210 MOPQ-1,3.0,M 6-9PM lec TBA,"LICO, GERARD REY"
11761,Archi 210 MOPQ-2,3.0,M 6-9PM lec TBA,"NADAL, CATHE DESIREE"
11792,Archi 210 SCDE,3.0,S 9AM-12PM lec TBA,"SILVESTRE, JOSE DANILO"
11800,Archi 211 MSOPQCDEBuilding Science: Components of Building Science,4.0,S 9AM-12PM lab TBA; M 6-9PM lec TBA,"BO-OT, LUIS MARIA"
11671,Archi 211 TSOPQEnvironmental Architecture: Tropical Design,4.0,S 6-9PM lab TBA; T 6-9PM lec TBA,"FLORES, JUAN PAOLO ANGELO MARTIN"
11666,"Archi 211 TSOPQCDEHistory, Theory, and Criticism: Curating Architecture and the City",4.0,S 9AM-12PM lec TBA; T 6-9PM lab TBA,"BULAONG, CARMEN BETTINA; DE VIANA, LORELEI"
11763,Archi 211 TWOPQWXEnvironmental Landscapes: Environmental landscapes' white space,4.0,W 1-4PM lab TBA; T 6-9PM lec TBA,"NAVARRA, NAPPY"
11794,Archi 211 WSOPQCDEUrban Design: Safe and Resilient Communities,4.0,S 9AM-12PM lab TBA; T 6-9PM lec TBA,"TOMELDAN, MICHAEL"
11677,Archi 232 WOPQ,3.0,Th 6-9PM lec TBA,"KARAAN, ANNA KATRINA"
