label,value
Eng 208,3
Eng 210,3
Eng 233,3
Eng 299,6
Eng 300,3
Eng 310,3
Eng 316,3
Eng 371,3
Env Sci,2
ES 1,3
ES 12,3
ES 13,3
ES 15,3
ES 26,0
ES 101,3
ES 102,3
ES 201,3
ES 204,3
ES 230,3
Ethics 1,3
FA 11,3
FA 13,3
FA 15,3
FA 16,3
FA 17,3
FA 18,3
FA 28,3
FA 30,3
FA 133,3
FA 200,3
FA 202,3
FA 203,3
FA 211,3
FA 213,3
FA 215,3
FA 221,3
FA 233,3
FA 236,3
FA 241,6
FA 300,3
Fil 4,3
Fil 10.2,3
Fil 18,3
Fil 20,3
Fil 30,3
Fil 40,3
Fil 50,3
Fil 104,3
Fil 128,3
Fil 155,3
Fil 180,3
Fil 198,3
Fil 200,3
Fil 203,3
Fil 208,3
Fil 225,3
Fil 245,3
Fil 281,3
Fil 290,3
Fil 298,3
Fil 299,6
Fil 300,3
Fil 350,3
Fil 353,3
Fil 381,3
Fil 387,6
Fil 400,3
Film 10,3
Film 12,3
Film 100,3
Film 101,3
Film 102,3
Film 103,3
Film 110,3
Film 112,3
Film 131,3
Film 132,3
Film 133,3
Film 134,3
Film 151,3
Film 153,3
Film 154,3
Film 156,3
Film 157,3
Film 158,3
Film 159,3
Film 171,3
Film 172,3
Film 178,3
Film 180,3
Film 197,3
Film 198,3
Film 199,3
Film 200,3
Film 201,3
Film 203,3
Film 220,3
Film 225,3
Film 230,3
Film 270,3
Film 281,3
Film 297,3
Film 299,3
FLCD 101,4
FLCD 102,3
FLCD 124,3
FLCD 127,3
FLCD 128,4
FLCD 132,3
FLCD 133,6
FLCD 136,3
FLCD 174,4
FLCD 175,3
FLCD 188,3
FLCD 200,3
FLCD 201,3
FLCD 203,3
FLCD 209,3
FLCD 211,3
FLCD 221,3
FLCD 225,3
FLCD 227,3
FLCD 274,3
FLCD 299,6
FLCD 300,3
FN 102,3
FN 110,3
FN 121,4
FN 123,12
FN 126,4
FN 131,4
FN 132,3
FN 134,2
FN 141.1,2
FN 142,6
FN 176,1
FN 190,3
FN 199,3
French 10,3
